,Armed Actors/ Security Personnel Casualties Total,Civilian Casualties Total,Civilians Injured,Civilians Killed,Country,Date,Description,Location,Province
213,11,0,0,0,Afghanistan,06/06/2020,11 police killed in roadside bomb blast in Khash district,Road,Badakhshan
245,3,0,0,0,Afghanistan,15/06/2020,Roadside bomb kills 2 pro-government militia and 1 injured in Argo district,No Information,Badakhshan
420,6,0,0,0,Afghanistan,14/08/2020,Roadside bomb explosion in Rezakan area of Argo district killed 4 soldier and wounded 2,Road,Badakhshan
26,0,5,0,5,Afghanistan,01/02/2020,Woman and 2 children killed by airstrike or roadside bomb in Badghis,Village,Badghis
28,5,0,0,0,Afghanistan,31/01/2020,5 Taliban killed in airstrike on Badghis,No Information,Badghis
59,0,6,5,1,Afghanistan,17/02/2020,6 injured in roadside bomb blast in Badghis province,Village,Badghis
81,3,0,0,0,Afghanistan,24/02/2020,3 border security killed in roadside bomb blast in Jawand district,Road,Badghis
96,8,0,0,0,Afghanistan,22/03/2020,3 army soldiers killed in car bomb explosion in Badghis,Armed Base,Badghis
307,0,3,0,3,Afghanistan,18/07/2020,"Roadside bomb kills 3, including a child, in Badghis",Road,Badghis
346,29,0,0,0,Afghanistan,13/07/2020,13 Taliban killed in Afghan iarstrikes in Badghis,No Information,Badghis
350,0,2,0,2,Afghanistan,08/07/2020,Roadside bomb kills 2 children in village of Gandah Ab in Ab Kamari ,Village,Badghis
412,0,10,6,4,Afghanistan,19/08/2020,4 killed and 6 wounded in Afghan sirstrikes on Badghisi village where Taliban were suspected to be sheltering,Village,Badghis
419,45,0,0,0,Afghanistan,16/08/2020,25 Taliaban killed and 20 injured in airstrike in Badghis,No Information,Badghis
426,0,6,2,4,Afghanistan,03/08/2020,Afghan mortar fire hits homs in Bala Murghab District killing 4,Urban Residential,Badghis
450,5,0,0,0,Afghanistan,13/09/2020,5 soldiers killed in roadside bomb blast in Badghis,Road,Badghis
615,13,0,0,0,Afghanistan,28/11/2020,13 Taliban killed in Afghan airstrikes in Badghis,No Information,Badghis
622,9,0,0,0,Afghanistan,30/11/2020,Senior official from Afghan armed forces killed in mortar shelling in Badghis,Armed Base,Badghis
645,0,7,5,2,Afghanistan,07/11/2020,2 killed and 5 injured in bomb explosion in Qala-e-Naw city,No Information,Badghis
142,19,0,0,0,Afghanistan,30/03/2020,19 Taliban killed in Afghan airstrikes in Baghlan,No Information,Baghlan
274,4,0,0,0,Afghanistan,18/06/2020,3 police killed and 1 wounded by roadside bomb as they respond to attack in Baghlan,Road,Baghlan
287,7,0,0,0,Afghanistan,03/07/2020,2 police killed and 5 injured in roadside bomb explosion in Baghlan,Road,Baghlan
325,0,1,0,1,Afghanistan,27/07/2020,12yo boy killed by pressure-plate IED in Pul-e-Khumri ,No Information,Baghlan
353,10,0,0,0,Afghanistan,05/08/2020,9 security guards killed when vehicle hit roadside bomb in Baghlan,Road,Baghlan
387,0,10,0,10,Afghanistan,24/08/2020,Airstrike in Baghlan kills 10 people in religious school,School,Baghlan
424,3,0,0,0,Afghanistan,07/08/2020,"Taliban roadside bomb in the Shahr-e-Kohna area of Baghlan-e-Markazi District, killing one soldier ",Road,Baghlan
579,15,0,0,0,Afghanistan,08/11/2020,8 Taliban killed in airstrike on Baghlan province,No Information,Baghlan
665,1,0,0,0,Afghanistan,16/12/2020,1 police killed in landmine blast in Baghlan province,No Information,Baghlan
20,0,9,2,7,Afghanistan,25/01/2020,6 killed in Afghan airstrikes on villages in Balkh,Village,Balkh
31,0,3,0,3,Afghanistan,13/01/2020,"Afghan mortar fire kills 3, including young girl in Balkh",Village,Balkh
33,3,0,0,0,Afghanistan,06/02/2020,3 Taliban killed in Afghan airstrike on Chimtal district,No Information,Balkh
40,1,0,0,0,Afghanistan,09/02/2020,Taliban leader killed in airstrike in chemtal district,Village,Balkh
50,2,0,0,0,Afghanistan,07/02/2020,2 soldiers killed trying to defuse bomb in Balkh,Road,Balkh
52,9,0,0,0,Afghanistan,13/02/2020,9 taliban killed in airstrike in Balkh province,No Information,Balkh
70,1,0,0,0,Afghanistan,27/02/2020,Policeman killed in roadside bomb blast in Balkh,Village,Balkh
159,16,0,0,0,Afghanistan,04/05/2020,16 Taliban killed in Balkh province's Koshinda district,No Information,Balkh
173,0,20,11,9,Afghanistan,11/05/2020,9 civilians killed and 11 injured according to local residents in Balkh - Afghanistan confirm at least 2 injured,Road,Balkh
178,30,0,0,0,Afghanistan,13/05/2020,17 Taliban killed in airstrike in Balkh district - civilians may also have been killed ,No Information,Balkh
217,4,1,0,1,Afghanistan,09/06/2020,Governor and 4 militiamen killed in bomb attack in Balkh province,No Information,Balkh
261,0,1,1,0,Afghanistan,01/07/2020,Roadside bomb explosion in Mazar-e-Sharif city wounds 1,Urban Residential,Balkh
281,5,0,0,0,Afghanistan,11/06/2020,Roadside bomb blast kills 1 soldier and wounds 4 in Balkh,Road,Balkh
303,8,0,0,0,Afghanistan,14/07/2020,8 Taliban killed in airstrike in Balkh province ,Armed Base,Balkh
384,8,0,0,0,Afghanistan,25/08/2020,Car bomb explosion near Balkh district killed 1 soldier and injured 6 near to compound,Armed Base,Balkh
388,9,38,35,3,Afghanistan,25/08/2020,2 commandos and civilian killed in suicide truck bomb in Balkh,Urban Residential,Balkh
591,11,0,0,0,Afghanistan,10/11/2020,5 Taliban killed and 6 injured in airstrike on Timorak village of Chaharbolak district of Balkh province,Village,Balkh
594,4,0,0,0,Afghanistan,13/11/2020,Deputy commander of border brigade killed in roadside bomb blast in Balkh,Road,Balkh
608,10,0,0,0,Afghanistan,23/11/2020,6 Taliban killed and 4 injured in Afghan airstrike in Balkh,Armed Base,Balkh
673,0,4,0,4,Afghanistan,19/12/2020,4 killed in roadside bomb blast in northern Balkh province,Village,Balkh
688,1,0,0,0,Afghanistan,26/12/2020,Army officer hits roadside bomb in northern Balkh province,Road,Balkh
609,28,3,0,3,Afghanistan,23/11/2020,15 Taliban killed in airstrikes by Afghan forces on hideouts in Gizab district village - 3 civilians also killed,Village,"Daikundi 
OR
Urozgan"
0,0,3,0,3,Afghanistan,01/01/2020,3 killed by roadside bomb in Farah city when car hits bomb,Urban Residential,Farah
12,2,0,0,0,Afghanistan,15/01/2020,2 taliban killed in airstrike conducted in Poshtro district of Farah province,No Information,Farah
41,0,5,0,5,Afghanistan,08/02/2020,5 businesspeople killed in airstrike while travelling in Abu nasr farahi port ,Village,farah
116,0,2,1,1,Afghanistan,20/04/2020,Roadside bomb kills 1 and injures 1 in Farah - Taliban suspected,Village,Farah
175,0,7,3,4,Afghanistan,12/05/2020,2 children killed in mortar attack in Farah province,Village,Farah
212,16,0,0,0,Afghanistan,04/06/2020,16 Taliban killed in US airstrike on Farah province,Armed Base,Farah
363,6,15,15,0,Afghanistan,12/08/2020,4 police killed and 16 injured in bomb explosion in police station in Farah,Urban Residential,Farah
18,5,0,0,0,Afghanistan,22/01/2020,Military commander and bodyguard killed in roadside bomb in Faryab,No Information,Faryab
38,0,5,1,4,Afghanistan,06/02/2020,Taliban mortar kills 4 civilians in Faryab,Urban Residential,Faryab
118,1,6,6,0,Afghanistan,26/03/2020,Taliban rocket attack kills 1 security member and wounds 6 in Faryab in attack on Almar District center,Town Centre,Faryab
140,0,2,0,2,Afghanistan,03/04/2020,2 children killed when rocket hits home in Faryab,Urban Residential,Faryab
152,0,2,1,1,Afghanistan,25/04/2020,Roadside bomb killed a child and injured another civilian in Almar district,No Information,Faryab
264,4,0,0,0,Afghanistan,28/06/2020,2 soldiers killed trying to defuse bomb in Faryab,Town Centre,Faryab
322,0,14,10,4,Afghanistan,24/07/2020,4 killed in mortar attacks by Taliban in Shirin Tagab and Dawlat Abad districts of Faryab,Multiple (urban),Faryab
367,8,1,1,0,Afghanistan,19/08/2020,4 Taliban killed in northern Faryab on meeting of shadow governors,Village,Faryab
396,11,0,0,0,Afghanistan,31/08/2020,8 Taliban killed and 3 injured in airstrikes in Faryab,No Information,Faryab
484,2,0,0,0,Afghanistan,07/09/2020,Grenade thrown at police HQ in Shirin Tagab district kills 1 police officer,No Information,Faryab
525,0,18,14,4,Afghanistan,22/10/2020,4 killed and 14 injured in Shelling on local bazaar in Faryab,Market,Faryab
585,9,10,10,0,Afghanistan,10/11/2020,4 police dead and 10 civilians injured by car bomb next to police base in Almar district - followed by gunfire,Police Station,Faryab
599,3,0,0,0,Afghanistan,16/11/2020,3 police injured in car bomb explosion in Faryab province,Market,Faryab
625,2,0,0,0,Afghanistan,05/12/2020,2 soldiers killed in roadside bomb explosion in Faryab,Road,Faryab
710,0,2,0,2,Afghanistan,11/12/2020,2 children killed in Afghan rocket firce in Qurghan Tepa area,Urban Residential,Faryab
15,11,0,0,0,Afghanistan,21/01/2020,Airstrike on Taliban kills 11 in Ghazni province's Ghelan district,Road,Ghazni
46,5,0,0,0,Afghanistan,11/02/2020,Roadside bomb kills 4 police in Nawa District,Road,Ghazni
62,1,0,0,0,Afghanistan,19/02/2020,1 Taliban killed in airstrike on Deh Yak district,No Information,Ghazni
92,4,1,0,1,Afghanistan,23/03/2020,4 police and 1 civilian killed in roadside bomb blast in Ghazni,Road,Ghazni
147,0,4,0,4,Afghanistan,21/04/2020,4 civilians killed and roadside bomb blast on road to Ghazni,Road,Ghazni
149,0,5,0,5,Afghanistan,22/04/2020,5 killed in roadside bombing in Ghazni,Road,Ghazni
156,0,5,0,5,Afghanistan,29/04/2020,5 killed in roadside blast in Ghazni's Andar district ,Road,Ghazni
180,0,3,1,2,Afghanistan,15/05/2020,2 children killed and 1 child injured in roadside bomb blast in Ghazni,Village,Ghazni
182,50,0,0,0,Afghanistan,18/05/2020,9 force members killed in Taliban suicide attack targetting intelligence base in Ghazni,Armed Base,Ghazni
200,0,4,1,3,Afghanistan,01/06/2020,Roadside bomb kills 3 in Ghazni's Nazar Khan area,Road,Ghazni
243,0,7,3,4,Afghanistan,16/06/2020,Mortar shell in Ghazni kills 4 children and 3 injured as it lands where they are playing,No Information,Ghazni
255,13,0,0,0,Afghanistan,28/06/2020,10 Tlaiban killed in airstrike on Ghazni province targeting Taliban gathering,Village,Ghazni
295,3,0,0,0,Afghanistan,08/07/2020,3 police killed in roadside bomb blast in Dehyak district,Road,Ghazni
297,0,3,1,2,Afghanistan,09/07/2020,2 killed and 1 injured in roadside bomb blast in Ghazni,Road,Ghazni
308,0,4,4,0,Afghanistan,16/07/2020,4 civilians wounded in rocket attaks on Ghazni city,Commercial Premises,Ghazni
338,0,3,0,3,Afghanistan,23/07/2020,3 killed in roadside bomb blast in Arzo area in Ghaznicity,Urban Residential,Ghazni
355,0,23,16,7,Afghanistan,08/08/2020,7 killed and 16 injured in car bombing targeting police centre in Ghazni,Police Station,Ghazni
467,0,3,0,3,Afghanistan,28/09/2020,3 killed in rocket attack by Taliban on residential area in Ghazni,Urban Residential,Ghazni
526,2,9,0,9,Afghanistan,24/10/2020,9 civilians killed and 2 police wounded in IED blast in Ghazni,Urban Residential,Ghazni
536,9,0,0,0,Afghanistan,30/10/2020,9 Taliban killed in Afghan airstrike in Nawa district,No Information,Ghazni
574,4,0,0,0,Afghanistan,05/10/2020,"Military vehicle was blown up by a roadside bomb in Basalan area of Nawa District, killing two police",Road,Ghazni
580,0,15,7,8,Afghanistan,08/11/2020,8 civilians killed by Taliban mortar shelling on residential areas in Ghazni,Urban Residential,Ghazni
619,55,0,0,0,Afghanistan,29/11/2020,Carbomb in Ghazni killed 30 Afghan security force members - some report different figures later,No Information,Ghazni
621,7,0,0,0,Afghanistan,30/11/2020,7 fighters killed in airstrike in Ghazni province,No Information,Ghazni
623,0,4,2,2,Afghanistan,01/12/2020,2 children killed and 2 injured in airstrike in Ghazni,Multiple (urban),Ghazni
629,6,0,0,0,Afghanistan,09/12/2020,3 soldiers killed and 2 injured in car bomb at operating base in Ghazni,Armed Base,Ghazni
675,0,5,3,2,Afghanistan,21/12/2020,2 killed and another wounded in IED blast in Muqur district,Village,Ghazni
694,4,0,0,0,Afghanistan,25/12/2020,4 Al Qaeda killed in airstrike in Nawa district ,No Information,Ghazni
703,12,0,0,0,Afghanistan,23/12/2020,Afghan airstrike on Taliban forces in Nawa killed 2 commandos and 2 soldiers,Road,Ghazni
125,0,11,10,1,Afghanistan,18/03/2020,1 killed and 10 injured in roadside bomb blast in village in Ghor,Village,Ghor
342,4,0,0,0,Afghanistan,22/07/2020,4 soldiers were killed when their Humvee hit a roadside bomb in the Dand-e-Ghori area,Road,Ghor
410,2,0,0,0,Afghanistan,20/08/2020,Motorcycle hits roadside bomb in Ghor's Badgah village,Village,Ghor
513,0,9,3,6,Afghanistan,16/10/2020,6 killed and 3 injured in roadside bomb blast in Ferozkoh city,Public Transport,Ghor
517,35,132,119,13,Afghanistan,18/10/2020,Suicide car bomb kills 15 and wounded 152 in Ghor province,Public Building,Ghor
658,0,3,2,1,Afghanistan,15/12/2020,Deputy council member killed in Ghor province ,No Information,Ghor
664,0,3,2,1,Afghanistan,15/12/2020,Sticky bomb kills deputy councilor and injures 2 in Ghor,No Information,Ghor
7,3,0,0,0,Afghanistan,11/01/2020,IED blast in PD1 of Lashkargah city kills 3 police,Armed Base,Helmand
10,6,0,0,0,Afghanistan,16/01/2020,An airstrike in the Nahr-e-Saraj district in southern Helmand province which has killed at least six Taliban,No Information,Helmand
19,4,0,0,0,Afghanistan,25/01/2020,4 Taliban killed in Afghan airstrike in Helmand,No Information,Helmand
21,4,0,0,0,Afghanistan,25/01/2020,4 injured as rocket hit a military helicopter in Afghanistan's southern province of Helmand,No Information,Helmand
60,3,0,0,0,Afghanistan,19/02/2020,3 Taliban killed in airstrikes on Nahr-e Saraj district,No Information,Helmand
68,0,3,0,3,Afghanistan,25/02/2020,3 women killed in roadside bomb blast in Helmand,Road,Helmand
75,1,0,0,0,Afghanistan,07/03/2020,IED blast in Lashkargah kills 1 policeman,No Information,Helmand
113,7,0,0,0,Afghanistan,20/04/2020,4 Taliban killed and 3 injured in airstrike on Kajaki district,No Information,Helmand
130,2,0,0,0,Afghanistan,08/03/2020,Roadside bomb explosion in Lashkar Gah kills member of National Directorate of Security,Road,Helmand
155,6,1,0,1,Afghanistan,30/04/2020,Head of intelligence and bodyguard killed by roadside bomb in Helmand,Road,Helmand
256,0,63,40,23,Afghanistan,29/06/2020,23 civilians killed in rocket attack on cattle market in Helmand province,Market,Helmand
257,0,7,1,6,Afghanistan,28/06/2020,Roadside bomb in Washer district kills 6 civilians,Road,Helmand
259,0,3,1,2,Afghanistan,30/06/2020,2 killed nad 1 injured in raodside bomb explosion in Helmand,Road,Helmand
278,0,2,0,2,Afghanistan,15/06/2020,2 killed by Taliban roadside bomb in Helmand,No Information,Helmand
315,0,4,0,4,Afghanistan,21/07/2020,4 killed in 2 IED explosion in Nahri Saraaj district in Helmand ,Road,Helmand
318,12,0,0,0,Afghanistan,22/07/2020,Car bomb killed 3 soldiers and injured 6 soldiers and 3 police in Helmand,No Information,Helmand
323,5,0,0,0,Afghanistan,25/07/2020,2 soldiers killed in Helmand by car bomb near security checkpoint,Armed Base,Helmand
386,2,0,0,0,Afghanistan,23/08/2020,2 soldiers wounded in IED explosion in Lashkargah city,No Information,Helmand
395,0,2,0,2,Afghanistan,30/08/2020,2 killed in roadside bomb explosion in Nad-e-Ali district in Helmand,Village,Helmand
429,10,0,0,0,Afghanistan,31/07/2020,6 soldiers killed and 4 wounded in roadside bomb explosion in Helmand,Road,Helmand
432,7,0,0,0,Afghanistan,02/09/2020,3 Taliban killed and 4 injured in Afghan airstrike in Garmser district,No Information,Helmand
468,9,5,1,4,Afghanistan,30/09/2020,9 killed in suicide bcar bombing at military checkpoint in Helmand,Armed Base,Helmand
498,8,0,0,0,Afghanistan,06/10/2020,4 soldiers killed in car bomb attack on security post in Helmand at 11pm,Armed Base,Helmand
502,0,14,9,5,Afghanistan,10/10/2020,5 killed and 9 injured in roadside bomb explosion in Helmand when bus hits,Urban Residential,Helmand
504,30,0,0,0,Afghanistan,10/10/2020,Taliban hideouts struck by Afghan forces killing 26 in Helmand,No Information,Helmand
508,0,2,0,2,Afghanistan,14/10/2020,2 women killed in mortar shelling on home in Helmand,Urban Residential,Helmand
541,0,7,0,7,Afghanistan,02/11/2020,Roadside bomb in Helmand kills 7 when a mini bus was hit,Road,Helmand
546,11,0,0,0,Afghanistan,06/11/2020,Head of Taliban’s intelligence for Nadali district of Helmand Province was killed with 9 others in airstrike,No Information,Helmand
558,2,4,1,3,Afghanistan,21/10/2020,Bomb attached to NDS vehicle detonates in Lashkar Gah killing 2 police and 3 civilians,Urban Residential,Helmand
584,10,0,0,0,Afghanistan,10/11/2020,10 Taliban fighters killed in Afghan airstrike on Helmand,No Information,Helmand
588,0,4,3,1,Afghanistan,12/11/2020,Journalist killed in IED blast in Helmand's Lashkar Gah city,Urban Residential,Helmand
635,5,0,0,0,Afghanistan,18/11/2020,Magentic bomb attached to vehicle in Lashkar Gah explodes killing 1 NDS and wounding 4,Urban Residential,Helmand
689,2,0,0,0,Afghanistan,26/12/2020,An Afghan security official and soldier killed in roadside bomb blast in Helmand,No Information,Helmand
2,1,0,0,0,Afghanistan,08/01/2020,US drone strike kills leader of breakaway Taliban faction in Herat,Urban Residential,Herat
3,0,15,0,15,Afghanistan,08/01/2020,2nd airstrike as they gathered bodies from initial strike in Herat - some report up to 60 civilians killed or injured as well as militants,Urban Residential,Herat
24,2,0,0,0,Afghanistan,29/01/2020,2 Taliban killed in airstrike on Herat,No Information,Herat
166,28,0,0,0,Afghanistan,20/04/2020,Afghan airstrike kill 16 Taliban and injure 12 in Herat,No Information,Herat
249,6,1,1,0,Afghanistan,21/06/2020,3 police killed and 3 injured in bomb explosion in Herat,Village,Herat
263,1,0,0,0,Afghanistan,29/06/2020,Police officer killed trying to defuse IED in Herat,Village,Herat
290,6,0,0,0,Afghanistan,04/07/2020,3 police killed and 3 wounded in roadside bomb blast in Herat,Road,Herat
320,45,20,12,8,Afghanistan,22/07/2020,45 Taliban killed in airstrike in Herat province; 8 civilians reported killed,Urban Residential,Herat
324,2,0,0,0,Afghanistan,26/07/2020,2 Taliban killed in airstrikes in Shindand district ,No Information,Herat
329,0,8,6,2,Afghanistan,29/07/2020,2 killed and 6 injured in bomb attack in Herat,Urban Residential,Herat
340,0,4,2,2,Afghanistan,22/07/2020,2 killed by roadside bomb in Estow village in Herat,Village,Herat
401,1,0,0,0,Afghanistan,26/08/2020,Policer officer killed attempting to defuse roadside bomb in Herat City,Urban Residential,Herat
414,2,0,0,0,Afghanistan,18/08/2020,Police officer killed and 1 wounded in roadside bomb blast in Zawol District,No Information,Herat
503,0,12,10,2,Afghanistan,10/10/2020,2 killed and 10 injured in roadside bomb explosion on Herat-Kandahar highway when bus hits,Village,Herat
537,4,1,1,0,Afghanistan,01/11/2020,"3 police, 1 injured and 1 civilian injured in bomb blast at checkpoint in Herat",Armed Base,Herat
596,7,0,0,0,Afghanistan,16/11/2020,7 railways security guards injured in bomb blast in Herat,Road,Herat
605,0,6,3,3,Afghanistan,21/11/2020,3 killed and 3 injured in roadside bomb  on the Islam-Qala highway of western Herat ,Road,Herat
110,42,0,0,0,Afghanistan,12/04/2020,25 Taliban killed and 17 wounded in airstrikes in Jawzjan,No Information,Jowzjan
188,6,0,0,0,Afghanistan,22/05/2020,6 Taliban killed in airstrikes in Jawzjan province,No Information,Jowzjan
189,21,0,0,0,Afghanistan,21/05/2020,21 Taliban killed in airstrike in Jawzjan province,No Information,Jowzjan
251,0,6,0,6,Afghanistan,23/06/2020,6 killed in roadside bomb explosion in Mardian district,Road,Jowzjan
399,0,3,0,3,Afghanistan,25/08/2020,3 laborers killed in IED attack in Jawzjan province,No Information,Jowzjan
562,8,0,0,0,Afghanistan,16/10/2020,A missile fired by the Taliban hit a security outpost in Faizabad’s Eight Police District,Armed Base,Jowzjan
23,0,5,4,1,Afghanistan,25/01/2020,IED blast in Kabul kills 1 in PD3,Road,Kabul
43,12,7,5,2,Afghanistan,11/02/2020,2 civilians and 4 military killed in suicide attack on Kabul,Police Station,Kabul
69,0,11,10,1,Afghanistan,27/02/2020,1 killed and 10 injured in 6th district of Kabul ,Urban Residential,Kabul
76,1,0,0,0,Afghanistan,06/03/2020,Rockets land in Kabul hitting hotel and injuring a police officer,Multiple (urban),Kabul
143,1,0,0,0,Afghanistan,30/03/2020,Bomb attached to vehicle in Kabul kills head of the Gender Department of the National Directorate of Security,Road,Kabul
153,1,17,15,2,Afghanistan,29/04/2020,3 killed and 15 wounded in Kabul suicide attack ,Urban Residential,Kabul
154,0,3,3,0,Afghanistan,29/04/2020,Blast in Kabul wounds 3 civilians ,No Information,Kabul
162,0,8,8,0,Afghanistan,03/05/2020,8 power company employees wounded in bomb explosion in Kabul,No Information,Kabul
171,0,4,4,0,Afghanistan,11/05/2020,Four explosions in Kabul leave 4 wounded,Urban Residential,Kabul
196,0,3,3,0,Afghanistan,31/05/2020,Roadside bomb injures 3 civilians in Kabul,No Information,Kabul
202,0,10,8,2,Afghanistan,02/06/2020,Bomb explodes in mosque in Kabul killing 2 and wounding 8,Place Of Worship,Kabul
214,0,4,3,1,Afghanistan,04/06/2020,Roadside bomb blast kills 1 and injures 3 in Qarabagh district ,Market,Kabul
240,0,12,8,4,Afghanistan,12/06/2020,4 killed by bomb explosion in Sher Shah Suri mosque in Kabul,Place Of Worship,Kabul
254,0,2,0,2,Afghanistan,27/06/2020,2 human rights workers killed by bomb attached to car in kabul,Road,kabul
273,0,8,6,2,Afghanistan,19/06/2020,Magnetic bomb kills 2 in Aino area of Paghman district,Road,Kabul
300,0,16,11,5,Afghanistan,14/07/2020,IED kills 5 in Surobi disrict - 11 wounded - when vehicle hits bomb,Village,Kabul
326,0,2,0,2,Afghanistan,28/07/2020,2 killed in magnetic bomb explosion in Kabul,No Information,Kabul
358,5,2,0,2,Afghanistan,09/08/2020,2 killed and 5 security forces injured in IED explosion in trolley in Kabul,Commercial Premises,Kabul
362,0,3,2,1,Afghanistan,11/08/2020,1 killed and 2 injured in bomb blast in Kabul's Khair Khana area,Urban Residential,Kabul
369,0,10,10,0,Afghanistan,18/08/2020,10 civilians injured in rocket attacks on homes in Kabul,Urban Residential,Kabul
370,0,1,0,1,Afghanistan,19/08/2020,Bomb blast kills high-ranking Education Ministry employee in Kabul,Urban Residential,Kabul
373,1,2,2,0,Afghanistan,19/08/2020,Sticky bomb kills 1 and wounds 2 in Kabul,No Information,Kabul
377,5,1,1,0,Afghanistan,22/08/2020,1 police officer killed and 4 injured in bomb blasts across Kabul,No Information,Kabul
378,0,2,2,0,Afghanistan,22/08/2020,Bicycle bomb injures 2 civilians in Kabul,Public Building,Kabul
389,1,0,0,0,Afghanistan,25/08/2020,Police officer killed by roadsde bomb in Kabul,Road,Kabul
458,0,3,3,0,Afghanistan,21/09/2020,3 wounded in roadside bomb blast in PD 5 of Kabul,Road,Kabul
459,0,1,0,1,Afghanistan,21/09/2020,Child killed in roadside bomb blast in PD 8 of Kabul,Road,Kabul
475,0,1,0,1,Afghanistan,05/10/2020,1 killed by blast of magnetic bomb attached to vehicle in Kabul,No Information,Kabul
506,2,0,0,0,Afghanistan,12/10/2020,IED explosion killed 1 army officer and wounded another in Kabul's PD12,Road,Kabul
529,1,81,57,24,Afghanistan,24/10/2020,Suicide bombing at educational cener in Kabul kills 24 ,School,Kabul
530,0,3,3,0,Afghanistan,26/10/2020,3 civilians injured in bomb attack on government vehicle in Kabul,Urban Residential,Kabul
532,0,13,10,3,Afghanistan,27/10/2020,3 killed and 10 injured in magnetic IED in Char Qala in Kabul,Urban Residential,Kabul
547,0,3,0,3,Afghanistan,07/11/2020,Former Afghan TV presenter and 2 other civilians killed in a bomb explosion in Kabul,Town Centre,Kabul
583,0,2,2,0,Afghanistan,09/11/2020,2 wounded in roadside bomb blast in Kabul,Urban Residential,Kabul
589,3,1,0,1,Afghanistan,11/11/2020,3 police and a civilian killed in IED blast in Lab-e-Jar area in Kabul,Urban Residential,Kabul
593,8,0,0,0,Afghanistan,13/11/2020,Suicide car bomb kills 3 soldiers and wounds 4 at western entry gate to Kabul,Armed Base,Kabul
602,0,61,51,10,Afghanistan,21/11/2020,8 killed and 31 injured in rocket fire on residential areas in Kabul,Urban Residential,Kabul
606,0,1,1,0,Afghanistan,22/11/2020,Magnetic mine targeting taxi injures 1 in Kabul,Road,Kabul
612,1,0,0,0,Afghanistan,28/11/2020,Police officer wounded in magnetic IED blast in Kabul,No Information,Kabul
618,0,2,2,0,Afghanistan,30/11/2020,2 wounded in blast in PD7 of Kabul ,Urban Residential,Kabul
654,0,4,2,2,Afghanistan,13/12/2020,Magnetic IED blast near hotel in Kabul city,Hotel,Kabul
655,0,5,4,1,Afghanistan,12/12/2020,1 killed and 4 injured in rocket attacks on areas in Kabul,Multiple (urban),Kabul
657,2,2,0,2,Afghanistan,15/12/2020,Bomb attack on deputy governor in Kabul - two guards were wounded,Urban Residential,Kabul
661,2,2,0,2,Afghanistan,15/12/2020,IED kills deputy governor in Kabul's PD9 district,Urban Residential,Kabul
663,0,2,2,0,Afghanistan,16/12/2020,2 civilians wounded in bomb blast in Kabul's PD 11,Urban Residential,Kabul
667,40,0,0,0,Afghanistan,18/12/2020,30 Taliban killed in airstrike on gathering in Qarabagh district,No Information,Kabul
669,0,62,52,10,Afghanistan,20/12/2020,At least 10 killed in car bomb blast in Kabul,Urban Residential,Kabul
676,0,7,2,5,Afghanistan,22/12/2020,"IED, some report roadside bomb and others report magnetic IED, kills 5, including 4 doctors, in Kabul",Urban Residential,Kabul
677,1,1,0,1,Afghanistan,21/12/2020,1 killed in suicide bombing incident in Paghman district at Bolsan mosque,Place Of Worship,Kabul
681,0,2,2,0,Afghanistan,21/12/2020,2 wounded in manetic IED explosion in Kabul city's Mahbas square,Town Centre,Kabul
686,2,2,2,0,Afghanistan,26/12/2020,2 police killed in IED blast in a central Kabul district,Urban Residential,Kabul
687,2,0,0,0,Afghanistan,26/12/2020,2 security personnel injured in bomb attack in western District of Kabul,No Information,Kabul
692,0,14,13,1,Afghanistan,28/12/2020,1 blast in Kabul's Guzargah neighbourhood killing 1 and 13 wounded,Urban Residential,Kabul
695,0,3,2,1,Afghanistan,31/12/2020,1 killed and 2 wounded in IED attack in Kabul city,Urban Residential,Kabul
707,1,1,0,1,Afghanistan,20/12/2020,Roadside bomb kills 1 civilian and wounds a police officer in Kabul,Urban Residential,Kabul
4,4,0,0,0,Afghanistan,11/01/2020,Roadside bomb kills 2 US soldiers and injures 2 in Kandahar,No Information,Kandahar
13,4,0,0,0,Afghanistan,16/01/2020,4 Taliban killed in airstrike on hideout in kandahar,No Information,kandahar
16,4,0,0,0,Afghanistan,21/01/2020,4 Taliban killed in airstrike on Dand in Nawa district,No Information,Kandahar
103,6,0,0,0,Afghanistan,03/04/2020,Airstrike kills 6 fighters in Kandahar province ,No Information,Kandahar
123,3,0,0,0,Afghanistan,22/03/2020,Policeman killed and 2 soldiers wounded by roadside bomb in Kandahar as they respond to another bombing,Road,Kandahar
129,1,0,0,0,Afghanistan,10/03/2020,Roadside bomb kills police officer in Kandahar city,Road,Kandahar
192,0,4,0,4,Afghanistan,25/05/2020,Roadside bomb kills at least 4 in Mianshin district in Kandahar,Road,Kandahar
198,0,7,5,2,Afghanistan,29/05/2020,2 children killed after bomb exploded on motorcycle in Kandahar,Urban Residential,Kandahar
201,0,14,5,9,Afghanistan,03/06/2020,Roadside bomb kills 9 in Kandahar province,Public Transport,Kandahar
215,0,3,3,0,Afghanistan,05/06/2020,Roadside bomb injures 3 in Kandahar's Mianshin district,No Information,Kandahar
231,2,2,1,1,Afghanistan,14/05/2020,Roadside bomb hits police vehicle in Kandahar city killing 1 civilian and wounding 2 police and a child,Urban Residential,Kandahar
